case_id,case_number,title,crime_type,jurisdiction,filing_date,status,lead_investigator,summary
FIR-1024,CR-2026-MH-1024,West Coast Maritime Gold Smuggling & Hawala Conduit,Contraband Smuggling & Customs Fraud,Mumbai Port Zone / Maharashtra,2026-05-14,Under Investigation,Insp. Vikramaditya Salunkhe,Intercept of 48kg smuggled bullion arriving via container terminal concealed in industrial machinery consignment.
FIR-1098,CR-2026-DL-1098,Cyber City Corporate Extortion & Crypto Laundering Ring,Cyber Extortion & Money Laundering,Cyber Crime Special Cell / Delhi-NCR,2026-05-22,Under Investigation,ACP Neha Rathore,Multi-crore ransomware extortion demanding payment laundered through shell corporate entities and layered wire transfers.
FIR-1055,CR-2026-MH-1055,Illicit Armored Transport & Hawala Cash Transit,Illegal Financial Courier,Pune Crime Branch,2026-04-10,Active,Insp. R. Kulkarni,Interception of cash courier transit vehicles along State Highway corridors.
FIR-1102,CR-2026-KA-1102,Coastal Dhow Narcotics Anchorage Network,Narcotics Trafficking,Coastal Security Group / Mangalore,2026-06-01,Active,DSP B. Shetty,Unregistered maritime dhow intercepts exchanging satellite-coordinated cargo packages.
FIR-1035,CR-2026-IND-FIR-1035,Regional Organized Syndicate Case #5,Cargo Theft,Mumbai Central,2026-05-14,Under Review,Insp. Officer_5,Investigation into organized criminal activity recorded under case FIR-1035.
FIR-1042,CR-2026-IND-FIR-1042,Regional Organized Syndicate Case #6,Cargo Theft,Delhi Cyber Cell,2026-04-13,Under Review,Insp. Officer_6,Investigation into organized criminal activity recorded under case FIR-1042.
FIR-1049,CR-2026-IND-FIR-1049,Regional Organized Syndicate Case #7,Extortion,Delhi Cyber Cell,2026-04-18,Under Review,Insp. Officer_7,Investigation into organized criminal activity recorded under case FIR-1049.
FIR-1056,CR-2026-IND-FIR-1056,Regional Organized Syndicate Case #8,Identity Forgery,Delhi Cyber Cell,2026-05-13,Under Review,Insp. Officer_8,Investigation into organized criminal activity recorded under case FIR-1056.
FIR-1063,CR-2026-IND-FIR-1063,Regional Organized Syndicate Case #9,Cargo Theft,Gujarat Maritime,2026-01-28,Under Review,Insp. Officer_9,Investigation into organized criminal activity recorded under case FIR-1063.
FIR-1070,CR-2026-IND-FIR-1070,Regional Organized Syndicate Case #10,Financial Fraud,Gujarat Maritime,2026-05-22,Under Review,Insp. Officer_10,Investigation into organized criminal activity recorded under case FIR-1070.
FIR-1077,CR-2026-IND-FIR-1077,Regional Organized Syndicate Case #11,Smuggling Conduit,Delhi Cyber Cell,2026-01-28,Under Review,Insp. Officer_11,Investigation into organized criminal activity recorded under case FIR-1077.
FIR-1084,CR-2026-IND-FIR-1084,Regional Organized Syndicate Case #12,Cargo Theft,Mumbai Central,2026-06-19,Under Review,Insp. Officer_12,Investigation into organized criminal activity recorded under case FIR-1084.
FIR-1091,CR-2026-IND-FIR-1091,Regional Organized Syndicate Case #13,Extortion,Mumbai Central,2026-05-11,Under Review,Insp. Officer_13,Investigation into organized criminal activity recorded under case FIR-1091.
FIR-1098,CR-2026-IND-FIR-1098,Regional Organized Syndicate Case #14,Identity Forgery,Kolkata Port,2026-04-21,Under Review,Insp. Officer_14,Investigation into organized criminal activity recorded under case FIR-1098.
FIR-1105,CR-2026-IND-FIR-1105,Regional Organized Syndicate Case #15,Financial Fraud,Kolkata Port,2026-06-20,Under Review,Insp. Officer_15,Investigation into organized criminal activity recorded under case FIR-1105.
FIR-1112,CR-2026-IND-FIR-1112,Regional Organized Syndicate Case #16,Financial Fraud,Bengaluru Cyber,2026-04-13,Under Review,Insp. Officer_16,Investigation into organized criminal activity recorded under case FIR-1112.
FIR-1119,CR-2026-IND-FIR-1119,Regional Organized Syndicate Case #17,Smuggling Conduit,Gujarat Maritime,2026-06-24,Under Review,Insp. Officer_17,Investigation into organized criminal activity recorded under case FIR-1119.
FIR-1126,CR-2026-IND-FIR-1126,Regional Organized Syndicate Case #18,Cargo Theft,Bengaluru Cyber,2026-02-26,Under Review,Insp. Officer_18,Investigation into organized criminal activity recorded under case FIR-1126.
FIR-1133,CR-2026-IND-FIR-1133,Regional Organized Syndicate Case #19,Identity Forgery,Kolkata Port,2026-05-25,Under Review,Insp. Officer_19,Investigation into organized criminal activity recorded under case FIR-1133.
FIR-1140,CR-2026-IND-FIR-1140,Regional Organized Syndicate Case #20,Smuggling Conduit,Bengaluru Cyber,2026-06-28,Under Review,Insp. Officer_20,Investigation into organized criminal activity recorded under case FIR-1140.
FIR-1147,CR-2026-IND-FIR-1147,Regional Organized Syndicate Case #21,Identity Forgery,Gujarat Maritime,2026-02-12,Under Review,Insp. Officer_21,Investigation into organized criminal activity recorded under case FIR-1147.
FIR-1154,CR-2026-IND-FIR-1154,Regional Organized Syndicate Case #22,Identity Forgery,Bengaluru Cyber,2026-02-24,Under Review,Insp. Officer_22,Investigation into organized criminal activity recorded under case FIR-1154.
FIR-1161,CR-2026-IND-FIR-1161,Regional Organized Syndicate Case #23,Extortion,Kolkata Port,2026-06-22,Under Review,Insp. Officer_23,Investigation into organized criminal activity recorded under case FIR-1161.
FIR-1168,CR-2026-IND-FIR-1168,Regional Organized Syndicate Case #24,Identity Forgery,Mumbai Central,2026-04-20,Under Review,Insp. Officer_24,Investigation into organized criminal activity recorded under case FIR-1168.
FIR-1175,CR-2026-IND-FIR-1175,Regional Organized Syndicate Case #25,Cargo Theft,Bengaluru Cyber,2026-02-21,Under Review,Insp. Officer_25,Investigation into organized criminal activity recorded under case FIR-1175.
